grinning,\ud83d\ude00
smiley,\ud83d\ude03
smile,\ud83d\ude04
grin,\ud83d\ude01
laughing,\ud83d\ude06
sweat_smile,\ud83d\ude05
joy	tears,\ud83d\ude02
rofl,\ud83e\udd23
relaxed	blush,\u263a\ufe0f
blush,\ud83d\ude0a
innocent,\ud83d\ude07
slightly_smiling_face,\ud83d\ude42
upside_down_face,\ud83d\ude43
wink,\ud83d\ude09
relieved,\ud83d\ude0c
love,\ud83d\ude0d
flirt,\ud83d\ude18
kissing,\ud83d\ude17
kissing_smiling_eyes,\ud83d\ude19
kissing_closed_eye,\ud83d\ude1a
lick,\ud83d\ude0b
silly,\ud83d\ude1c
prank,\ud83d\ude1d
stuck_out_tongue,\ud83d\ude1b
rich,\ud83e\udd11
hugs,\ud83e\udd17
geek,\ud83e\udd13
cool,\ud83d\ude0e
clown_face,\ud83e\udd21
cowboy_hat_face,\ud83e\udd20
smug,\ud83d\ude0f
unamused,\ud83d\ude12
sad,\ud83d\ude1e
pensive,\ud83d\ude14
worried,\ud83d\ude1f
confused,\ud83d\ude15
slightly_frowning_face,\ud83d\ude41
frowning_face,\u2639\ufe0f
struggling,\ud83d\ude23
confounded,\ud83d\ude16
whine,\ud83d\ude2b
tired,\ud83d\ude29
smug,\ud83d\ude24
annoyed,\ud83d\ude20
angry,\ud83d\ude21
silence,\ud83d\ude36
meh,\ud83d\ude10
expressionless,\ud83d\ude11
speechless,\ud83d\ude2f
frowning,\ud83d\ude26
stunned,\ud83d\ude27
wow,\ud83d\ude2e
amazed,\ud83d\ude32
dizzy_face,\ud83d\ude35
flushed,\ud83d\ude33
shocked,\ud83d\ude31
oops,\ud83d\ude28
nervous,\ud83d\ude30
tear,\ud83d\ude22
nervous,\ud83d\ude25
drooling_face,\ud83e\udd24
sad,\ud83d\ude2d
sweat,\ud83d\ude13
tired,\ud83d\ude2a
sleeping,\ud83d\ude34
roll_eyes,\ud83d\ude44
thinking,\ud83e\udd14
liar,\ud83e\udd25
grimacing,\ud83d\ude2c
silence,\ud83e\udd10
disgusted,\ud83e\udd22
